Tool,Home,Description,Collection,Topics,Functions,Input (type),Input (format),Output (type),Output (format),Reference,Docs,Terms of use,Helpdesk,Contact,Owner (GTL),Cluster,Tool Group,Maturity
MView,http://www.ebi.ac.uk/Tools/msa/mview/,"MView reformats the results of a sequence database search (BLAST, FASTA) or a multiple alignment adding optional HTML markup to control colouring and web page layout",EBI Tools,Data management (topic_3071),Sequence alignment formatting (operation_0562)| Sequence alignment visulatisation (operation_0565)|Visualisation(operation_0337),Sequence alignment (data_0863)|Sequence search results (data_0857),MSF (format_1947)|nbrf/pir (format_1948)|ClustalW format (format_1982),Sequence alignment (data_0863),,PMID:9632837,http://www.ebi.ac.uk/Tools/msa/mview/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
NCBI BLAST,http://www.ebi.ac.uk/Tools/sss/ncbiblast/,"Find regions of sequence similarity and alignments between a query sequence and database sequences, using programs from the NCBI BLAST suite (e.g. blastn, blastp, blastx, etc.)",EBI Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077)|Proteins (topic_0078),Sequence similarity search (operation_0346),Sequence (data_2044),,Sequence search results (data_0857),,PMID:9254694,http://www.ebi.ac.uk/Tools/sss/ncbiblast/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
OntoQuery,http://www.ebi.ac.uk/chebi/tools/ontoquery/,OWL query tool for ChEBI ontology,,,,,,,,PMID:24008420,http://www.ebi.ac.uk/chebi/tools/ontoquery/OntoQueryHelp.jsp,http://www.ebi.ac.uk/about/terms-of-use,chebi-help@ebi.ac.uk,Venkatesh Muthukrishnan (venkat@ebi.ac.uk),Christoph Steinbeck,Chemistry and Molecular Resources Cluster,C,Established
PDBeFold,http://pdbe.org/fold,Identification and comparison of similar proteins based on 3D arrangements of secondary structure elements,EBI Tools|PDBe Tools,"Protein structure analysis (topic_2814)|Proteins (topic_0078)
",Structural similarity search (operation_0360)|Structure alignment (operation_0295)|Structure visualisation (operation_0570),Protein structure (data_1460),PDB (format_1476) | mmCIF (format_1477),Database search results (data_2080)|Structure alignment (protein) (data_1481)|Protein structure report (data_1537),HTML|XML|FASTA,PMID:15572779,http://pdbe.org/fold,http://www.ebi.ac.uk/about/terms-of-use,pdbhelp@ebi.ac.uk,Sameer Velankar (sameer@ebi.ac.uk),Gerard Kleywegt,MCS,B,Established
PDBeMotif,http://pdbe.org/motif,"Advanced search system based on 3D structure motifs, sequence motifs, and more.",EBI Tools|PDBe Tools,Protein structure analysis (topic_2814)|Protein structural motifs and surfaces (topic_0166)|Protein interactions (topic_0128)|Proteins (topic_0078),Protein structural motif recognition (operation_0245),"Ligand ID, Smiles string, PFAM ID, Uniprot ID, Protein sequence pattern, Secondary structure sequence, ",,Protein-ligand interaction report (data_1566)|Protein features (data_1277),,PMID:18637174,http://www.ebi.ac.uk/pdbe-site/pdbemotif/start?tab=upload,http://www.ebi.ac.uk/about/terms-of-use,https://www.ebi.ac.uk/pdbe/?tab=aboutus&subtab=contactus,Saqib Mir,Gerard Kleywegt,MCS,B,Established
PDBePISA,http://pdbe.org/pisa,Exploration of macromolecular interfaces and prediction of probable quaternary structures,EBI Tools|PDBe Tools,Protein structure analysis (topic_2814)|Protein structural motifs and surfaces (topic_0166)|Protein interactions (topic_0128)|Proteins (topic_0078),Protein quaternary structure prediction (operation_3350)|Protein surface analysis (operation_3351)|Structure visualisation (operation_0570),Protein structure (data_1460),PDB (format_1476) | mmCIF (format_1477),Protein structure report (data_1537)|Protein interaction report (data_0906),HTML|XML,PMID:17681537,http://pdbe.org/pisa,http://www.ebi.ac.uk/about/terms-of-use,pdbhelp@ebi.ac.uk,Oliver Smart (smart@ebi.ac.uk),Gerard Kleywegt,MCS,B,Established
,,,,,,,,,,,,,,,,,,
PDBsum Generate,http://www.ebi.ac.uk/thornton-srv/databases/pdbsum/Generate.html,"Protein structure analyses, inlcuding secondary structure determination, quality assessment, protein -ligand -protein -DNA interactions.",EBI Tools|Thornton Tools,Protein structure analysis (topic_2814)|Protein interactions (topic_0128)|Proteins (topic_0078),Protein structure analysis (operation_2406),Protein structure (data_1460),PDB (format_1476),Protein structure report (data_1537),HTML,PMID:18996896,http://www.ebi.ac.uk/thornton-srv/databases/cgi-bin/pdbsum/GetPage.pl?doc=TRUE&template=doc_index.html&pdbcode=n/a,http://www.ebi.ac.uk/about/terms-of-use,roman@ebi.ac.uk,Roman Laskowski (roman@ebi.ac.uk),Janet Thornton,R,C,Established
Pfam search,http://pfam.sanger.ac.uk/search,Search of Pfam's HMM collection,EBI Tools,"Protein families (topic_0724)|Protein sites, features and motifs (topic_3510)|Proteins (topic_0078)|",Protein sequence feature detection (operation_3087)|Sequence signature recognition (operation_0239)|Protein family and domain recognition (operation_0246),Protein sequence (data_2976)|DNA sequence (data_3494),,Sequence signature matches (data_0858),,"PMID:26673716
PMCID: PMC4702930",http://pfam.sanger.ac.uk/help,http://www.ebi.ac.uk/about/terms-of-use,pfam-help@sanger.ac.uk,Pfam group (pfam-help@sanger.ac.uk),Rob Finn,PPF,B,Established
Phobius,http://www.ebi.ac.uk/Tools/pfa/phobius/,Predict transmembrane topology and signal peptides from the amino acid sequence of a protein,EBI Tools,"Protein sites, features and motifs (topic_3510)|Membrane and lipoproteins (topic_0820)|Protein structure analysis (topic_2814)|Proteins (topic_0078)",Transmembrane protein prediction (operation_0269)|Protein signal peptide detection (operation_0418),Protein sequence (data_2976),,Protein features (data_1277),,PMID:15111065,http://www.ebi.ac.uk/Tools/pfa/phobius/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
PICR,http://www.ebi.ac.uk/Tools/picr/,Protein Identifier Cross Reference service to map proteins by identifiers and sequence,EBI Tools,Data identity and mapping (topic_3345),ID mapping (operation_3282),Protein accessions (data_2907)|Protein sequence (data_2976),,Protein accessions (data_2907),,PMID:17945017,http://www.ebi.ac.uk/Tools/picr/init.do#documentation,http://www.ebi.ac.uk/about/terms-of-use,pride-support@ebi.ac.uk,PRIDE support (pride-support@ebi.ac.uk),Maria Martin,Molecular Atlas,B,Established
PITA,http://www.ebi.ac.uk/thornton-srv/databases/pita/,Suggests most likely biological unit for X-ray structure of protein,EBI Tools|Thornton Tools,Protein structure analysis (topic_2814)|Proteins (topic_0078),Protein architecture recognition (operation_2475),Protein structure (data_1460),,Protein structure report (data_1537),,doi: 10.1002/1097-0134(20001001)41:1<47::AID-PROT80>3.0.CO;2-8,http://www.ebi.ac.uk/thornton-srv/databases/pita/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Roman Laskowski (roman@ebi.ac.uk),Janet Thornton,R,C,Retiring
PomBase assembly converter,http://genomebrowser.pombase.org/tools.html,Map your data to the current assembly,EBI Tools|Ensembl Tools,Nucleic acids (topic_0077)|NGS (topic_3168),Read mapping (operation_3198),Genomic features (data_1276),GFF (format_2305)|GTF (format_2306)|BED (format_3003)|PSL (format_3007), ,GFF (format_2305),PMID:25361970,http://www.pombase.org/documentation,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@pombase.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
PomBase Blast,http://genomebrowser.pombase.org/tools.html,Searches PomBase sequences using BLAST,EBI Tools|Ensembl Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077)|Proteins (topic_0078),Sequence similarity search (operation_0346),Sequences (data_2044),FASTA (format_1929),Sequence alignment (data_0863)|Sequence search results (data_0857), ,PMID:25414345,http://www.pombase.org/documentation,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@pombase.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
PomBase data slicer,http://genomebrowser.pombase.org/tools.html,Get a subset of data from a BAM | VCF,EBI Tools|Ensembl Tools,Data management (topic_3071)|NGS (topic_3168)|Nucleic acids (topic_0077),Sequence file editing (operation_2121),Sequence alignment (data_0863)|Sequence variations (data_3498)|Sequence coordinates (data_2012),BAM (format_2572)|VCF (format_3016), ,BAM (format_2572)|VCF (format_3016),PMID:25361971,http://www.pombase.org/documentation,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@pombase.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
PomBase Motif search,http://curation.pombase.org/cgi-bin/sanger_motif_search,Search PomBase protein set for a given motif,EBI Tools|Ensembl Tools,"Protein sites, features and motifs (topic_3510)|Sequence analysis (topic_0080)|Proteins (topic_0078) ",Sequence motif recognition (operation_0239),Regular expression (data_1352), ,Sequence search results (data_0857), ,PMID:25352549,http://www.pombase.org/documentation,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@pombase.org,PomBase (helpdesk@pombase.org),Paul Kersey,GGV,B,Establsihed
PomBase VEP,http://genomebrowser.pombase.org/tools.html,Upload a set of SNPs in our standard format and export a file containing consequence types,EBI Tools|Ensembl Tools,Genetic variation (topic_0199)|Nucleic acids (topic_0077)|NGS (topic_3168),Variant classification (operation_3225),Sequence variations (data_3498),Ensembl variation file format (format_3499)|VCF (format_3016),Report (data_2048),Textual format (format_2330)|HTML (format_2331),PMID:25352546,http://www.pombase.org/documentation,http://www.ebi.ac.uk/about/terms-of-use,helpdesk@pombase.org,Ensembl Genomes webteam (eg-webteam@ebi.ac.uk),Paul Kersey,GGV,B,Established
PoreLogo,http://www.ebi.ac.uk/thornton-srv/software/PoreLogo/,Generates logo showing conservation of pore-lining residues in transmembrane protein structures,EBI Tools|Thornton Tools,Membrane and lipoproteins (topic_0820)|Sequence analysis (topic_0080)|Protein structure analysis (topic_2814)|Proteins (topic_0078),Transmembrane protein visualisation (operation_2241)|Visualisation(operation_0337),"PDB file, list of residues of interest (from PoreWalker)",PDB,Image of a protein,"Image (JPEG), FASTA sequence, PyMol script",PMID:19609355,http://www.ebi.ac.uk/thornton-srv/software/PoreLogo/readme_ml.txt,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Roman Laskowski (roman@ebi.ac.uk),Janet Thornton,R,C,Established
PoreWalker,http://www.ebi.ac.uk/thornton-srv/software/PoreWalker/,Detects and characterises transmembrane protein channels from their 3D structure,EBI Tools|Thornton Tools,"Protein structure analysis (topic_2814)|Membrane and lipoproteins (topic_0820)|Proteins (topic_0078)
",Transmembrane protein visualisation (operation_2241),PDB File,PDB,Protein structure report + list of residues of interest,HTML,PMID:19609355,http://www.ebi.ac.uk/thornton-srv/software/PoreWalker/readme_ml.txt,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Roman Laskowski (roman@ebi.ac.uk),Janet Thornton,R,C,Established
Pratt,http://www.ebi.ac.uk/Tools/pfa/pratt/,Discover patterns in unaligned protein sequences,EBI Tools,"Protein sites, features and motifs (topic_3510)|Sequence analysis (topic_0080)",Sequence motif discovery (operation_0238),Protein sequence (data_2976),,Sequence motif report (data_2762),,PMID:9367124,http://www.ebi.ac.uk/Tools/pfa/pratt/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
Probe and Primer Search,http://www.ebi.ac.uk/ipd/imgt/hla/probe.html,Search tool for generating probe and primer hit tables,EBI Tools,"Sequence analysis (topic_0080)|Immunoproteins, genes and antigens (topic_2830)|Nucleic acids (topic_0077)",Primer and probe design(operation_2419)|Sequence feature detection (operation_0253),Nucleic acid sequence (data_2977),Textual format (format_2330),Sequence search results (data_0857),xls (format_3468)|HTML (format_2331),PMID:25414341,http://www.ebi.ac.uk/ipd/imgt/hla/probe.html,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/ipd.php,James Robinson (James.Robinson@anthonynolan.org),Andy Yates,GGV,B,Established
ProFunc,http://www.ebi.ac.uk/thornton-srv/databases/profunc,Protein function prediction,EBI Tools|Thornton Tools,Protein structure analysis (topic_2814)|Function analysis (topic_1775)|Proteins (topic_0078),Protein function prediction (operation_1777),Protein structure (data_1460),PDB (format_1476),Protein structure report (data_1537),HTML,PMID:15980588,http://www.ebi.ac.uk/thornton-srv/databases/cgi-bin/pdbsum/GetPage.pl?doc=TRUE&pdbcode=n/a&profunc=TRUE&template=doc_index.html,http://www.ebi.ac.uk/about/terms-of-use,roman@ebi.ac.uk,Roman Laskowski (roman@ebi.ac.uk),Janet Thornton,R,C,Established
PromoterWise,http://www.ebi.ac.uk/Tools/psa/promoterwise/,"Compare two DNA sequences allowing for inversions and translocations, ideal for promoters",EBI Tools,Sequence analysis (topic_0080)|Nucleic acids (topic_0077),Pairwise sequence alignment (operation_0491)|Local sequence alignment (operation_0495),DNA sequences (data_3494),"GCG, FASTA, EMBL, GenBank",Report (data_2048),blast report,PMID:23671338,http://www.ebi.ac.uk/Tools/psa/promoterwise/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Andy Yates,T,B,Established
PROSITE Scan,http://www.ebi.ac.uk/Tools/pfa/ps_scan/,Scan a protein against PROSITE or HAMAP patterns and profiles ,EBI Tools,"Protein families (topic_0724)|Protein sites, features and motifs (topic_3510)|Proteins (topic_0078)",Protein sequence feature detection (operation_3087)|Sequence signature recognition (operation_0239),Protein sequence (data_2976),,Sequence signature matches (data_0858)|Protein features (data_1277),,,http://www.ebi.ac.uk/Tools/pfa/ps_scan/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Rob Finn,T,B,Retiring
PSI-BLAST,http://www.ebi.ac.uk/Tools/sss/psiblast/,"Iterative protein sequence similarity search based on BLAST: search with a custom, position-specific, scoring matrix which can help find distant evolutionary relationships",EBI Tools,Sequence analysis (topic_0080)|Proteins (topic_0078),Sequence similarity search (operation_0346),Protein sequence (data_2976),,Sequence search results (data_0857)|PSSM (data_2854),,PMID:9254694,http://www.ebi.ac.uk/Tools/sss/psiblast/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
PSI-MI Validator,http://www.ebi.ac.uk/intact/validator/start.xhtml,"Validate files in PSI-MI XML 2.5 and PSI-PAR format, and generate a table with error messages",EBI Tools,Data management (topic_3071)|Protein interactions (topic_0128)|Proteins (topic_0078),Format validation (operation_0336),Protein interaction report (data_0906),PSI MI XML (MIF) (format_3158)|PSI-PAR (format_3243),Report (data_2048),HTML (format_2331),PMID:19834897,http://www.ebi.ac.uk/intact/validator/start.xhtml,http://www.ebi.ac.uk/about/terms-of-use,intact-help@ebi.ac.uk,Maximilian (mkoch@ebi.ac.uk),Sandra Orchard,Molecular Systems,B,Established
PSI-Search,http://www.ebi.ac.uk/Tools/sss/psisearch/,Iterative protein sequence similarity search based on Smith & Waterman algorithm with PSI-BLAST profile construction : find distantly related protein sequences ,EBI Tools,Sequence analysis (topic_0080)|Proteins (topic_0078),Sequence similarity search (operation_0346),Protein sequence (data_2976),,Sequence search results (data_0857)|PSSM (data_2854),,PMCID:22539666,http://www.ebi.ac.uk/Tools/sss/psisearch/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Rodrigo Lopez,TSC,C,Established
Protein2Go,http://www.ebi.ac.uk/internal-tools/protein2go/,"Curation tool, allows users to query existing, and create new GO annotations.",,"Data submission, annotation and curation (topic_0219)|Ontology and terminology (topic_0089)|",Query and retrieval (operation_0224)|Annotation (operation_0226)|Deposition (operation_3431),,"DOI, PubMed ID, UniProt accesion, RNAcentral ID* (taxon specific only), IntAct complex ID",new annotation in database,,,,,,,,,,
R Cloud Workbench,http://www.ebi.ac.uk/Tools/rcloud/,Workbench for remote access to R/Bioconductor on EBI's cluster,EBI Tools,Statistics (topic_2269)|Sequence analysis (topic_0080)|Nucleic acids (topic_0077),Statistical calculation (operation_2238),,,,,http://f1000research.com/posters/328 - no publication with a PMCID/DOI,http://www.ebi.ac.uk/Tools/rcloud/quick_start.html,http://www.ebi.ac.uk/about/terms-of-use,andrew@ebi.ac.uk,Andrew Tikhonov (andrew@ebi.ac.uk),Ugis Sarkans,Molecular Atlas,B,Established
RADAR,http://www.ebi.ac.uk/Tools/pfa/radar/,Identify gapped approximate repeats and complex repeat architectures involving many different types of repeats,EBI Tools,"Sequence composition, complexity and repeats (topic_0157)|Proteins (topic_0078) ",Repeat sequence detection (operation_0379),Protein sequence (data_2976),,Protein features (data_1277),,PMID:10966575,http://www.ebi.ac.uk/Tools/pfa/radar/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
Reactome Pathways Analysis,http://www.reactome.org/PathwayBrowser/#TOOL=AT,"single data analysis service comprising pathway identifier mapping, overrepresentation and expression analysis tools",EBI Tools|Reactome Tools,Proteins (topic_0078)|Small molecules (topic_0154)|Data visualisation (topic_0092)|Function analysis (topic_1775)|Statistics (topic_2269),ID mapping (operation_3282)|Query and retrieval (operation_0224)|Database search (operation_2421)|Format validation (operation_0336)|Gene expression data analysis (operation_2495)|Statistical calculation (operation_2238),Plain text (?),"TSV,CSV",JSON,,PMID:26656494,http://www.reactome.org/pages/documentation/,http://www.reactome.org/pages/about/license-agreement/,help@reactome.org,Antonio Fabregat Mundo (fabregat@ebi.ac.uk),Henning Hermjakob,Molecular Systems,B,Established
Rfam search,http://rfam.xfam.org/search,Search of Rfam's covariance model collection,EBI Tools,"Functional, regulatory and non-coding RNA (topic_0659)|Sequence analysis (topic_0080)",Sequence similarity search (operation_0346),Nucleic acid sequence (data_2977),FASTA,Sequence search results (data_0857),HTML / GFF/ XML / JSON / TSV ,PMID:25392425,http://rfam.xfam.org/help,http://www.ebi.ac.uk/about/terms-of-use,rfam-help@ebi.ac.uk,Rfam group (rfam-help@ebi.ac.uk),Rob Finn,GGV,B,Established
SAPS,http://www.ebi.ac.uk/Tools/seqstats/saps/,"SAPS (statistical analysis of protein sequences) lets you evaluate protein sequence properties using statistics, including compositional biases, clusters and runs of amino acid properties, repetitive structures, motifs etc",EBI Tools,"Protein properties (topic_0123)|Sequence composition, complexity and repeats (topic_0157)|Protein sites, features and motifs (topic_3510)|Proteins (topic_0078)",Protein property calculation (operation_0250)|Sequence composition calculation (operation_0236)|Protein sequence feature detection (operation_3087),Protein sequence (data_2976),,Protein properties (data_0897)|Sequence composition report (data_1261),,PMID:1549558,http://www.ebi.ac.uk/Tools/seqstats/saps/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
SAS,http://www.ebi.ac.uk/thornton-srv/databases/sas,Annotation of protein sequence with structural info from similar proteins in the PDB,EBI Tools|Thornton Tools,"Protein sites, features and motifs (topic_3510)|Protein structure analysis (topic_2814)|Proteins (topic_0078)",Sequence similarity search (operation_0346)|Protein sequence feature detection (operation_3087),Protein sequence (data_2976),,Sequence alignment (data_0863)|Protein features (data_1277),HTML,PMID:9862203,http://www.ebi.ac.uk/thornton-srv/databases/sas,http://www.ebi.ac.uk/about/terms-of-use,roman@ebi.ac.uk,Roman Laskowski (roman@ebi.ac.uk),Janet Thornton,R,C,Established
Scorecons,http://www.ebi.ac.uk/thornton-srv/databases/cgi-bin/valdar/scorecons_server.pl,Scores residue conservation based on a given multiple sequence alignment,EBI Tools|Thornton Tools,Sequence analysis (topic_0080)|Proteins (topic_0078),Sequence alignment analysis (conservation) (operation_0448),Protein sequence alignment,"FASTA, PIR",Report,Text,PMID:12112692,http://www.ebi.ac.uk/thornton-srv/databases/valdarprograms/scorecons_server_help.html,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Roman Laskowski (roman@ebi.ac.uk),Janet Thornton,R,C,Established
SeqCksum,http://www.ebi.ac.uk/Tools/so/seqcksum/,Generation of checksums for protein and nucleotide sequences,EBI Tools,Data management (topic_3071)|Proteins (topic_0078)|Nucleic acids (topic_0077),Sequence checksum generation (operation_3348),Sequence (data_2044),,Sequence checksum (data_2190),,,http://www.ebi.ac.uk/Tools/so/seqcksum/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
Sequence Alignments,http://www.ebi.ac.uk/ipd/imgt/hla/align.html,Interactive sequence alignment tool with help page available,EBI Tools,"Sequence analysis (topic_0080)|Immunoproteins, genes and antigens (topic_2830)|Proteins (topic_0078)|Nucleic acids (topic_0077)",Multiple sequence alignment (operation_0492)|Sequence alignment visualisation (operation_0565)|Visualisation(operation_0337),Parameters (data_2527),Textual format (format_2330),Sequence alignment (data_0863),HTML (format_2331),PMID:25414341 ,http://www.ebi.ac.uk/ipd/imgt/hla/align.html,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/ipd.php,James Robinson (James.Robinson@anthonynolan.org),Andy Yates,GGV,B,Established
Small Molecule Search,http://www.reactome.org/cgi-bin/small_molecule_search?DB=gk_current,"Launch a search in the ChEBI database of small molecules (used by RHEA, Reactome)",EBI Tools|ChEBI Tools,Cheminformatics (topic_2258),Structure databases search (operation_0339),Chemical structure sketch (data_3490),,Chemical structure report (data_0962),,PMID:22135291,http://www.ebi.ac.uk/chebi/userManualForward.do#Advanced%20Search,http://www.ebi.ac.uk/about/terms-of-use,chebi-help@ebi.ac.uk,Adriano | Venkat,Christoph Steinbeck,Chemistry and Molecular Resources Cluster,B,Established
SpeckTackle,http://www.ebi.ac.uk/metabolights/reference,"NMR and MS spectra viewer, used in MetaboLights metabolite pages ",,,,,,,,,documentation tab on same resource URL,,pmoreno@ebi.ac.uk,Pablo Moreno,Christoph Steinbeck,Chemistry and Molecular Resources Cluster,C,Young
SPIN,https://www.ebi.ac.uk/swissprot/Submissions/spin/,Submit protein sequences,EBI Tools|UniProt Tools,"Data submission, annotation and curation (topic_0219)|Proteins (topic_0078)",Data submission (operation_3431),Protein sequences (data_2976),,Protein sequence record (data_2886),,doi:10.1038/npre.2009.3120.1,https://www.ebi.ac.uk/swissprot/Submissions/spin/help,http://www.ebi.ac.uk/about/terms-of-use,"http://www.ebi.ac.uk/support/,http://www.uniprot.org/contact",Ricardo Antunes,Maria Martin,PPF,B,Established
SurvCurv - Analyse data,https://www.ebi.ac.uk/thornton-srv/databases/SurvCurv/analyse.php,Survival and other incident curves,EBI Tools|Thornton Tools,Statistics (topic_2269),Incident curve plotting (operation_3503),Survival data,tsv,Survival curve,HTML,PMID:26249811 ,https://www.ebi.ac.uk/thornton-srv/databases/SurvCurv/analyse.php,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Roman Laskowski (roman@ebi.ac.uk),Janet Thornton,R,C,Established
Sylarray,http://www.ebi.ac.uk/enright-srv/sylarray/,SylArray is a web-based analysis resource designed to examine influence of small RNAs on expression profiles,EBI Tools,"Functional, regulatory and non-coding RNA (topic_0659)|Gene expression (topic_0203)|NGS (topic_3168)",Gene expression data analysis (operation_2495),,,,,PMID:20871108,http://www.ebi.ac.uk/enright-srv/sylarray/FAQ.html,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Anton Enright (aje@ebi.ac.uk),Anton Enright,R,C,Established
T-COFFEE,http://www.ebi.ac.uk/Tools/msa/tcoffee/,Multiple sequence alignment that combines several alignment methods,EBI Tools,Sequence analysis (topic_0080)|Proteins (topic_0078)|Nucleic acids (topic_0077),Multiple sequence alignment (operation_0492),Sequences (data_2044),,Sequence alignment (data_0863),,PMID:21979275,http://www.ebi.ac.uk/Tools/msa/tcoffee/,http://www.ebi.ac.uk/about/terms-of-use,http://www.ebi.ac.uk/support/,Web Production (es-request@ebi.ac.uk),Tools Committee,T,A,Established
Transcription-Factor DNA motif prediction,http://www.ebi.ac.uk/saezrodriguez-srv/d5c2/cgi-bin/TF_web.pl,Web site desgined to accompany paper related to DREAM5 challenge,EBI Tools,"Nucleic acid sites, features and motifs (topic_3511)|Gene expression (topic_0203)|Nucleic acids (topic_0077)",Transcription factor binding site prediction (operation_0445),,,,,PMID:23354101,http://www.ebi.ac.uk/saezrodriguez-srv/d5c2/cgi-bin/TF_web.pl,http://www.ebi.ac.uk/about/terms-of-use,rnorel@us.ibm.com,Rachel Norel (rnorel@us.ibm.com)|Thomas Cokelaer (cokelaer@ebi.ac.uk),Julio Saez-Rodriguez,R,C,Established
TreeFam search,http://www.treefam.org/search,"Search of TreeFam's HMM collection, allows query sequence to be aligned (MAFFT) and inserted into tree (RAxML) to significantly matching models",EBI Tools,Sequence analysis (topic_0080)|Phylogeny (topic_0084)|Protein families (topic_0724)|Proteins (topic_0078),Sequence signature recognition (operation_0239)|Phylogenetic tree editing (operation_0326)|Query and retrieval (operation_0224),Protein sequence (data_2976),,Sequence signature matches (data_0858),,PMID:24194607 ,http://www.treefam.org/help,http://www.ebi.ac.uk/about/terms-of-use,https://treefam.tenderapp.com/,Andy Yates (ayates@ebi.ac.uk),"
Paul Flicek/Bromwen Aken
",GGV,B,Young
UniProt Align,http://www.uniprot.org/align,Multiple sequence alignment,EBI Tools|UniProt Tools,Sequence analysis (topic_0080)|Proteins (topic_0078),Multiple sequence alignment (operation_0492),,,Sequence alignment (data_0863),,PMID:21988835,http://www.uniprot.org/help/sequence-alignments,http://www.ebi.ac.uk/about/terms-of-use,http://www.uniprot.org/contact,Xavier Watkins (watkins@ebi.ac.uk),Maria Martin,PPF,B,Established
UniProt BLAST,http://www.uniprot.org/blast/,Search UniProt sequences with BLAST,EBI Tools|UniProt Tools,Sequence analysis (topic_0080)|Proteins (topic_0078),Sequence similarity search (operation_0346),Protein sequence (data_2976),,Sequence search results (data_0857),,PMID:25845596,http://www.uniprot.org/help/sequence-searches,http://www.ebi.ac.uk/about/terms-of-use,http://www.uniprot.org/contact,Xavier Watkins (watkins@ebi.ac.uk),Maria Martin,PPF,B,Established
UniProt ID Mapping ,http://www.uniprot.org/mapping/,Maps identifiers to or from UniProtKB,EBI Tools|UniProt Tools,Data identity and mapping (topic_3345),ID mapping (operation_3282),,,,,PMID:21478197,http://www.uniprot.org/help/uploadlists,http://www.uniprot.org/help/license,http://www.uniprot.org/contact,Xavier Watkins (watkins@ebi.ac.uk),Maria Martin,PPF,B,Established
Variant Effect Predictor,http://www.ensembl.org/Multi/Tools/VEP,Analyse your own variants and predict the functional consequences of known and unknown variants,EBI tools|Ensembl Tools,Genetic variation (topic_0199)|Function analysis (topic_1775)|Proteins (topic_0078)|Nucleic acids (topic_0077)|NGS (topic_3168),Variant classification (operation_3225),Sequence variations (data_3498),VCF (format_3016)|pileup (format_3015)|Ensembl variation file format (format_3499),Report (data_2048),CSV (format_3475)|xls (format_3468)|VCF (format_3016)|HTML (format_2331),PMID:20562413,http://www.ensembl.org/info/docs/tools/vep/index.html,http://www.ebi.ac.uk/about/terms-of-use,http://www.ensembl.org/Help/Contact,Andrew Yates (ayates@ebi.ac.uk),Andy Yates,GGV,B,Established
